Name,EloRating,match_number
Dzmitry Zhyrmont,1535,67
Hyun Woo Nam,1535,83
Michal Mertinak,1535,17
Soong Jae Cho,1535,56
Frank Wintermantel,1535,74
Valentin Dimov,1535,54
Frank Moser,1535,13
Sanam Singh,1535,5
Thomas Cazes Carrere,1534,88
Karan Rastogi,1534,37
Jean Noel Insausti,1534,85
Kaes Vant Hof,1534,42
Juan Albert Viloca Puig,1533,40
Roman Vogeli,1533,72
Irakli Labadze,1533,21
Michael Quintero,1533,98
Jordane Doble,1533,5
Federico Zeballos,1533,32
Giulio Torroni,1532,67
Diego Cristin,1532,61
Phillip Simmonds,1532,74
Markus Eriksson,1532,30
Juan Francisco Spina,1532,48
Juan Miguel Such Perez,1532,27
Peng Sun,1532,72
Lovro Zovko,1532,30
Vladimir Obradovic,1531,87
Jan Greve,1531,3
Julien Mathieu,1530,9
Prima Simpatiaji,1530,1
Ross Hutchins,1530,5
Kento Takeuchi,1530,111
Gaston Arturo Grimolizzi,1530,104
Jose Hernandez,1530,27
Martin Rios Benitez,1529,35
Oskar Pallin,1529,9
Michal Pazicky,1529,68
Gary Lugassy,1529,89
Joseph Sirianni,1529,106
Michael Kohlmann,1528,4
Massimo Capone,1528,76
Charles Roche,1528,45
Adrien Bossel,1528,80
Steve Johnson,1528,12
Chase Buchanan,1528,35
Jonathan Marray,1528,36
Guilherme Clezar,1528,10
Erik Chvojka,1527,65
Luis Antonio Perez Perez,1527,4
Rickard Holmstrom,1527,8
Mateusz Kowalczyk,1527,60
David Souto,1527,30
Di Wu,1526,27
Mikhail Pavlov,1526,3
Seung Hoon Lee,1525,7
Austin Krajicek,1525,27
Alberto Francis,1525,46
Patricio Alvarado,1525,21
Guillermo Gomez Diaz,1525,13
Bruno Agostinelli,1525,8
Alexandre Folie,1525,62
Photos Kallias,1525,104
Ivan Cerovic,1524,73
Antonio Sancic,1524,93
Guillaume Couillard,1523,5
Ervin Eleskovic,1523,63
Guillaume Legat,1523,3
Dimitris Kleftakos,1522,29
Rodrigo Perez,1522,77
Simeon Ivanov,1522,52
Radu Albot,1522,70
Aqeel Khan,1522,24
Yassine Idmbarek,1522,53
Marco Simoni,1522,78
Nikita Kryvonos,1522,55
Masatoshi Miyazaki,1522,18
Enrique Olivares,1522,6
Fabiano De Paula,1522,8
Thomas Liversage,1522,11
Jakub Praibis,1521,28
Julien Maes,1521,11
Karel Triska,1521,42
Guillermo Alcorta Olarra,1521,71
Moises Cardenas,1520,4
Markus Hipfl,1520,2
Kenny De Schepper,1520,38
Tobias Klein,1520,38
Aditya Hari Sasongko,1520,1
Andrej Kracman,1520,1
Marcus Fugate,1520,76
Laurynas Grigelis,1520,54
Chris Klingemann,1520,74
Mikhail Elgin,1520,18
Agustin Tarantino,1520,44
Baptiste Dupuy,1519,49
Thales Turini,1519,41
Alessandro Accardo,1519,32
Matthew Kandath,1519,3
Tiago Fernandes,1519,16
Brian Hung,1519,1
Jose Pereira,1519,49
Michal Navratil,1518,47
Andy Lloyd,1518,11
Cheuk Wai Hui,1518,1
Neil Bamford,1518,37
Alessandro Giannessi,1518,41
Sebastian Fitz,1518,7
Sergei Demekhine,1517,24
Mikhail Ptukhin,1517,9
Lazaro Navarro Batles,1517,5
Jerome Inzerillo,1517,48
Luca Schena,1517,3
Enrico Fioravante,1517,25
Alejandro Dominguez,1516,2
Barry King,1516,49
Dino Bilankov,1516,6
Michael Linzer,1516,26
Juan Ferrer,1516,22
Pavel Chekhov,1516,86
